Palavra                     Num vezes:                       Linhas:                    Sentencas:                  Paragrafos:
pensando                      	1                              11	                              3	                              2	
pesquisada                    	1                              21	                              3	                              4	
pode                          	3                              1 2 17	                              1 2 5	                              1 1 3	
podem                         	1                              22	                              4	                              4	
poderia                       	2                              6 16	                              4 3	                              1 3	
positivo                      	1                              20	                              2	                              4	
possíveis                    	1                              15	                              3	                              3	
principais                    	1                              12	                              3	                              2	
processo                      	1                              18	                              6	                              3	
professor                     	1                              3	                              3	                              1	
projeto                       	1                              3	                              3	                              1	
propôs                       	1                              4	                              3	                              1	
prove                         	2                              10 12	                              2 3	                              2 2	
providos                      	2                              18 22	                              5 4	                              3 4	
própria                      	1                              18	                              5	                              3	
publica-lo                    	1                              1	                              1	                              1	
pudesse                       	1                              4	                              3	                              1	
qual                          	1                              12	                              3	                              2	
qualificação                	1                              2	                              1	                              1	
qualquer                      	1                              20	                              1	                              4	
quando                        	1                              10	                              2	                              2	
quantidade                    	1                              2	                              2	                              1	
recursos                      	1                              18	                              5	                              3	
repetição                   	1                              2	                              2	                              1	
repetições                  	1                              15	                              2	                              3	
resposta                      	1                              21	                              3	                              4	
resultado                     	1                              20	                              2	                              4	
resultados                    	2                              6 17	                              4 4	                              1 3	
retornado                     	1                              21	                              2	                              4	
retornasse                    	1                              17	                              4	                              3	
retorno                       	2                              12 21	                              3 3	                              2 4	
sabendo-se                    	2                              3 15	                              3 3	                              1 3	
segundo                       	1                              18	                              6	                              3	
semi-infinito                 	1                              11	                              2	                              2	
sentenças                    	1                              2	                              2	                              1	
sequência                    	1                              9	                              1	                              2	
sequêncial                   	1                              6	                              4	                              1	
serem                         	1                              11	                              2	                              2	
seu                           	1                              12	                              3	                              2	
solução                     	3                              4 5 22	                              3 4 4	                              1 1 4	
stop                          	1                              5	                              4	                              1	
são                          	1                              11	                              2	                              2	
tais                          	2                              2 9	                              2 1	                              1 2	
tamanho                       	1                              11	                              2	                              2	
tanto                         	1                              2	                              2	                              1	
tempo                         	1                              17	                              4	                              3	
tipo                          	2                              7 14	                              5 2	                              1 3	
trabalho                      	2                              4 11	                              3 3	                              1 2	
uml                           	1                              22	                              4	                              4	
uso                           	2                              9 14	                              1 1	                              2 3	
usuário                      	1                              21	                              2	                              4	
utilizadas                    	1                              10	                              2	                              2	
utilizado                     	2                              14 20	                              2 1	                              3 4	
utilizar                      	1                              5	                              4	                              1	
utilização                  	2                              4 18	                              3 5	                              1 3	
vantagens                     	1                              10	                              2	                              2	
variáveis                    	1                              11	                              2	                              2	
vazio                         	1                              21	                              3	                              4	
vez                           	1                              14	                              2	                              3	
vir                           	2                              4 6	                              3 4	                              1 1	
visto                         	1                              5	                              4	                              1	
várias                       	1                              6	                              5	                              1	
words                         	1                              5	                              4	                              1	
árvore                       	3                              7 9 20	                              5 1 1	                              1 2 4	
árvores                      	1                              9	                              1	                              2	
índices                      	1                              10	                              2	                              2	
Numsentenca paragrafos: 5 3 6 4
Linha de inicio/linha de fim: 1/7 9/12 14/18 20/22
-------------------------------------------------------------------------------------------------------------------------------------------------------

                           NUMBER OF WORDS IN EACH SENTENCE WITH AND WITHOUT STOP WORDS                                                           

-------------------------------------------------------------------------------------------------------------------------------------------------------

Parágrafo	                   sentenca	                     com stop words	               sem stop words
1                             	1                             	26                            	16                            
1                             	2                             	29                            	17                            
1                             	3                             	52                            	29                            
1                             	4                             	40                            	24                            
1                             	5                             	22                            	15                            
2                             	1                             	30                            	16                            
2                             	2                             	29                            	20                            
2                             	3                             	35                            	22                            
3                             	1                             	14                            	8                             
3                             	2                             	32                            	16                            
3                             	3                             	22                            	13                            
3                             	4                             	16                            	10                            
3                             	5                             	27                            	18                            
3                             	6                             	15                            	8                             
4                             	1                             	20                            	12                            
4                             	2                             	16                            	8                             
4                             	3                             	18                            	12                            
4                             	4                             	18                            	13                            
-------------------------------------------------------------------------------------------------------------------------------------------------------
